id,title,description,duration_min,rarity,category,lat,lon
1,"Eiffelturm bei Sonnenuntergang","Erlebe den magischen Moment wenn Paris in goldenes Licht taucht.",60,Rare,Kreativ,48.8584,2.2945
2,"Louvre Mona Lisa","Finde die Mona Lisa im weltgrößten Museum und entdecke weitere Meisterwerke.",120,Rare,Kultur,48.8606,2.3376
3,"Montmartre Gassen","Verliere dich in den verwinkelten Gassen des Künstlerviertels.",60,Rare,Urban,48.8867,2.3431
4,"Notre-Dame Baustelle","Besuche den Wiederaufbau der legendären Kathedrale und ihre Umgebung.",30,Rare,Kultur,48.8530,2.3499
5,"Seine-Spaziergang","Flaniere entlang der Seine von Île de la Cité bis zum Eiffelturm.",60,Rare,Natur,48.8566,2.3522
6,"Café Crème genießen","Frühstücke in einem klassischen Pariser Café mit Croissant.",30,Rare,Kulinarik,48.8566,2.3522
7,"Sacré-Cœur Panorama","Genieße den Blick über ganz Paris von der weißen Basilika.",60,Epic,Natur,48.8867,2.3431
8,"Marais Viertel","Erkunde das jüdische Viertel mit Galerien und dem Place des Vosges.",90,Epic,Kultur,48.8566,2.3600
9,"Musée d'Orsay","Tauche ein in die Welt der Impressionisten im ehemaligen Bahnhof.",180,Epic,Kultur,48.8600,2.3266
10,"Père Lachaise Friedhof","Suche die Gräber von Jim Morrison, Chopin und Oscar Wilde.",120,Epic,Abenteuer,48.8614,2.3969
11,"Versailles Schlossgarten","Radle durch die endlosen Barockgärten des Sonnenkönigs.",240,Epic,Natur,48.8049,2.1204
12,"Centre Pompidou","Erlebe moderne Kunst im bunten Industriegebäude am Beaubourg.",120,Epic,Kreativ,48.8606,2.3522
13,"Pariser Katakomben","Steige in das unterirdische Ossarium mit 6 Millionen Skeletten hinab.",90,Epic,Abenteuer,48.8339,2.3322
14,"Flea Market Clignancourt","Stöbere auf dem größten Flohmarkt Europas nach Vintage-Schätzen.",180,Epic,Urban,48.8983,2.3486
15,"Saint-Germain-des-Prés","Sitze in Sartres Lieblingscafé und beobachte das Pariser Leben.",90,Epic,Sozial,48.8539,2.3335
16,"Fahrradtour Paris","Radle vom Louvre durch den Marais bis zum Bastille-Platz.",120,Epic,Sport,48.8566,2.3522
17,"Nacht an der Seine","Erlebe Paris bei Nacht auf einem Bateaux Mouches bis Mitternacht.",480,Legendary,Urban,48.8566,2.3522
18,"Museen Marathon","Besuche Louvre, Orsay und Pompidou an einem einzigen Tag.",480,Legendary,Kultur,48.8566,2.3522
19,"Versailles Komplett","Erkunde Schloss, Gärten, Trianon und Hameau de la Reine.",480,Legendary,Kultur,48.8049,2.1204
20,"Paris bei Nacht komplett","Erlebe Moulin Rouge, Montmartre und beleuchtete Sehenswürdigkeiten.",480,Legendary,Kreativ,48.8566,2.3522
